Country Name,"Time","Adolescent fertility rate (births per 1,000 women ages 15-19)","Annual freshwater withdrawals, total (% of internal resources)","Births attended by skilled health staff (% of total)","CO2 emissions (metric tons per capita)","Contraceptive prevalence, any methods (% of women ages 15-49)","Electric power consumption (kWh per capita)","Energy use (kg of oil equivalent per capita)","External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","Forest area (sq. km)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","High-technology exports (% of manufactured exports)","Immunization, measles (% of children ages 12-23 months)","Income share held by lowest 20%","Life expectancy at birth, total (years)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000 live births)","Net barter terms of trade index (2000 = 100)","Net migration","Net official development assistance and official aid received (current US$)","Personal remittances, received (current US$)","Population density (people per sq. km of land area)","Population growth (annual %)","Population, total","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","Poverty headcount ratio at national poverty lines (% of population)","Prevalence of HIV, total (% of population ages 15-49)","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)","School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)","Statistical Capacity score (Overall average)","Surface area (sq. km)","Terrestrial and marine protected areas (% of total territorial area)","Time required to start a business (days)","Total debt service (% of exports of goods, services and primary income)","Urban population growth (annual %)","GDP (current US$)"
Chile,"1994","67.2356","","99.5","2.68974181051704","","1588.6954569776","1204.92173701888","","2.432","2582100000","154914.00390625","3730","6270","52856792412.9745","88890011019.102","","96","3.5","74.671","0.816661184","13.9","114.5833333","","150420000","","19.0527635725176","1.5752224851923","14166340","5","","0.1","0.8","","","","","","756096.015625","","","","1.96423996502228","57008425295.8256"
Chile,"1995","66.6114","","99.5","2.90282435007739","","1745.3747222177","1275.42812790273","","2.372","2957000000","155485","4420","7070","63598933895.7484","101711668583.798","","97","","74.957","1.372059235","13.1","135.5769231","","156890000","","19.3412864484445","1.5029844838017","14380866","","","0.1","0.8","","","","","","756096.015625","","","","1.88456868964807","73447063319.3034"
Chile,"1996","65.9872","","99.6","3.32477629620692","","1926.52959375131","1392.71273711437","","2.306","4814616000","156055.99609375","5070","7750","73934257107.2635","113115344085.184","","93","3.6","75.244","2.190072645","12.5","109.5238095","","195700000","","19.6190202801031","1.42575128225713","14587370","3.4","","0.1","0.7","","99.3790664672852","","","","756096.015625","","","","1.7988208287435","78039572221.6024"
Chile,"1997","65.363","","99.4","3.81401013917012","","2069.35917360894","1538.5285083003","","2.238","5271400000","156627.001953125","5590","8370","82588569648.9986","123787192606.259","","96","","75.53","2.771093626","12.2","113","19340","129380000","","19.8864600024587","1.35395801302939","14786220","","","0.1","","","77.8893814086914","","","","756096.015625","","","","1.71976784398955","84952360922.4679"
Chile,"1998","63.6964","","99.6","3.84848448026147","","2176.96496525876","1572.72018402251","","2.172","4627817978","157197.998046875","5490","8790","82226790897.2917","131704431868.475","","98","3.5","75.813","6.437876814","11.9","100","","106450000","","20.144031958946","1.28689655595197","14977733","3.5","","0.1","0.7","","103.495391845703","0.99905002117157","78.4832763671875","","756096.015625","","","","1.64435946138727","81577430181.4074"
Chile,"1999","62.0298","","99.4","4.05617194713377","","2392.96172210937","1650.6113646556","","2.11","8761016217.84","157769.00390625","5120","8720","77616734013.0468","132230920027.057","","94","","76.092","14.90942966","11.5","100","","70020000","","20.3929344839507","1.22804282065597","15162800","","","0.1","0.7","","105.463417053223","0.998799979686737","80.6813735961914","","756096.015625","","","","1.57956768655663","75173794497.0321"
Chile,"2000","60.3632","","99","3.83350669874432","","2499.29068898363","1640.41037251587","","2.055","4860015667.52","158340","5060","9220","77651817812.7441","141423037028.744","","97","3.8","76.366","22.17081695","10.9","100","","48970000","13300000","20.6344210540694","1.17721142767665","15342353","4.4","36","0.2","","","105.988403320313","0.995029985904694","84.4164733886719","","756096.015625","","","","1.52052546501187","77860932151.8471"
Chile,"2001","58.6966","","99.8","3.43772837952392","60.7","2628.68670781142","1591.7255178536","","2.009","4199763048.85","158755.99609375","4800","9640","74542047451.0208","149617762745.183","","96","","76.634","32.8741032","10.3","92.75224352","","59020000","11900000","20.8681164332824","1.12618583494464","15516113","","","0.2","0.7","","","","","","756096.015625","","","","1.46254905933042","70979923960.3742"
Chile,"2002","57.03","","99.8","3.51703918203102","","2727.86816513137","1630.12524093193","","1.972","2549923142.41108","159172.001953125","4540","9930","71191891260.3191","155784421234.555","","95","","76.894","39.81221097","9.8","96.35963381","42330","-6690000","12400000","21.0944631042081","1.07881292652664","15684409","","","0.2","0.7","","105.24626159668","0.994239985942841","88.2572326660156","","756096.015625","","","","1.35978395047291","69736811435.1032"
Chile,"2003","56.6368","","97.7","3.508135131295","","2897.79233007766","1629.89982366805","","1.943","4026497832.75699","159587.998046875","4510","10180","71513609366.7616","161378822034.931","","96","4","77.146","45.8576693","9.5","105.6918031","","80480000","11800000","21.3167036978274","1.04803826249803","15849652","4.2","35.4","0.2","0.6","","103.899017333984","0.992190003395081","91.1319198608398","","756096.015625","","42","","1.11614226762616","75643459839.6008"
